"Compartment"	"Host_order"	"Class"	"total_reads"	"total_reads_com_host"	"prop"
"78"	"Endophytic"	"Asterales"	"Agaricomycetes"	0	12460	0
"79"	"Endophytic"	"Asterales"	"Agaricostilbomycetes"	0	12460	0
"80"	"Endophytic"	"Asterales"	"Arthoniomycetes"	0	12460	0
"81"	"Endophytic"	"Asterales"	"Cystobasidiomycetes"	0	12460	0
"82"	"Endophytic"	"Asterales"	"Dacrymycetes"	0	12460	0
"83"	"Endophytic"	"Asterales"	"Dothideomycetes"	8544	12460	0.685714285714286
"84"	"Endophytic"	"Asterales"	"Eurotiomycetes"	0	12460	0
"85"	"Endophytic"	"Asterales"	"Exobasidiomycetes"	0	12460	0
"86"	"Endophytic"	"Asterales"	"Lecanoromycetes"	0	12460	0
"87"	"Endophytic"	"Asterales"	"Leotiomycetes"	0	12460	0
"88"	"Endophytic"	"Asterales"	"Microbotryomycetes"	0	12460	0
"89"	"Endophytic"	"Asterales"	"Orbiliomycetes"	0	12460	0
"90"	"Endophytic"	"Asterales"	"Pezizomycetes"	0	12460	0
"91"	"Endophytic"	"Asterales"	"Pucciniomycetes"	0	12460	0
"92"	"Endophytic"	"Asterales"	"Saccharomycetes"	160	12460	0.0128410914927769
"93"	"Endophytic"	"Asterales"	"Sordariomycetes"	3312	12460	0.265810593900482
"94"	"Endophytic"	"Asterales"	"Taphrinomycetes"	0	12460	0
"95"	"Endophytic"	"Asterales"	"Tremellomycetes"	248	12460	0.0199036918138042
"96"	"Endophytic"	"Canellales"	""	2	8030	0.00024906600249066
"97"	"Endophytic"	"Canellales"	"Agaricomycetes"	0	8030	0
"98"	"Endophytic"	"Canellales"	"Agaricostilbomycetes"	0	8030	0
"99"	"Endophytic"	"Canellales"	"Arthoniomycetes"	0	8030	0
"100"	"Endophytic"	"Canellales"	"Cystobasidiomycetes"	0	8030	0
"101"	"Endophytic"	"Canellales"	"Dacrymycetes"	0	8030	0
"102"	"Endophytic"	"Canellales"	"Dothideomycetes"	6642	8030	0.827148194271482
"103"	"Endophytic"	"Canellales"	"Eurotiomycetes"	28	8030	0.00348692403486924
"104"	"Endophytic"	"Canellales"	"Exobasidiomycetes"	0	8030	0
"105"	"Endophytic"	"Canellales"	"Lecanoromycetes"	0	8030	0
"106"	"Endophytic"	"Canellales"	"Leotiomycetes"	0	8030	0
"107"	"Endophytic"	"Canellales"	"Microbotryomycetes"	0	8030	0
"108"	"Endophytic"	"Canellales"	"Orbiliomycetes"	0	8030	0
"109"	"Endophytic"	"Canellales"	"Pezizomycetes"	0	8030	0
"110"	"Endophytic"	"Canellales"	"Pucciniomycetes"	0	8030	0
"111"	"Endophytic"	"Canellales"	"Saccharomycetes"	124	8030	0.0154420921544209
"112"	"Endophytic"	"Canellales"	"Sordariomycetes"	1066	8030	0.132752179327522
"113"	"Endophytic"	"Canellales"	"Taphrinomycetes"	0	8030	0
"114"	"Endophytic"	"Canellales"	"Tremellomycetes"	168	8030	0.0209215442092154
"115"	"Endophytic"	"Caryophyllales"	""	1	1769	0.000565291124929339
"116"	"Endophytic"	"Caryophyllales"	"Agaricomycetes"	0	1769	0
"117"	"Endophytic"	"Caryophyllales"	"Agaricostilbomycetes"	0	1769	0
"118"	"Endophytic"	"Caryophyllales"	"Arthoniomycetes"	0	1769	0
"119"	"Endophytic"	"Caryophyllales"	"Cystobasidiomycetes"	0	1769	0
"120"	"Endophytic"	"Caryophyllales"	"Dacrymycetes"	0	1769	0
"121"	"Endophytic"	"Caryophyllales"	"Dothideomycetes"	632	1769	0.357263990955342
"122"	"Endophytic"	"Caryophyllales"	"Eurotiomycetes"	0	1769	0
"123"	"Endophytic"	"Caryophyllales"	"Exobasidiomycetes"	0	1769	0
"124"	"Endophytic"	"Caryophyllales"	"Lecanoromycetes"	0	1769	0
"125"	"Endophytic"	"Caryophyllales"	"Leotiomycetes"	42	1769	0.0237422272470322
"126"	"Endophytic"	"Caryophyllales"	"Microbotryomycetes"	0	1769	0
"127"	"Endophytic"	"Caryophyllales"	"Orbiliomycetes"	0	1769	0
"128"	"Endophytic"	"Caryophyllales"	"Pezizomycetes"	0	1769	0
"129"	"Endophytic"	"Caryophyllales"	"Pucciniomycetes"	0	1769	0
"130"	"Endophytic"	"Caryophyllales"	"Saccharomycetes"	48	1769	0.0271339739966083
"131"	"Endophytic"	"Caryophyllales"	"Sordariomycetes"	873	1769	0.493499152063313
"132"	"Endophytic"	"Caryophyllales"	"Taphrinomycetes"	0	1769	0
"133"	"Endophytic"	"Caryophyllales"	"Tremellomycetes"	173	1769	0.0977953646127756
"134"	"Endophytic"	"Celastrales"	""	0	1556	0
"135"	"Endophytic"	"Celastrales"	"Agaricomycetes"	0	1556	0
"136"	"Endophytic"	"Celastrales"	"Agaricostilbomycetes"	0	1556	0
"137"	"Endophytic"	"Celastrales"	"Arthoniomycetes"	0	1556	0
"138"	"Endophytic"	"Celastrales"	"Cystobasidiomycetes"	0	1556	0
"139"	"Endophytic"	"Celastrales"	"Dacrymycetes"	0	1556	0
"140"	"Endophytic"	"Celastrales"	"Dothideomycetes"	1434	1556	0.92159383033419
"141"	"Endophytic"	"Celastrales"	"Eurotiomycetes"	0	1556	0
"142"	"Endophytic"	"Celastrales"	"Exobasidiomycetes"	0	1556	0
"143"	"Endophytic"	"Celastrales"	"Lecanoromycetes"	0	1556	0
"144"	"Endophytic"	"Celastrales"	"Leotiomycetes"	0	1556	0
"145"	"Endophytic"	"Celastrales"	"Microbotryomycetes"	0	1556	0
"146"	"Endophytic"	"Celastrales"	"Orbiliomycetes"	0	1556	0
"147"	"Endophytic"	"Celastrales"	"Pezizomycetes"	0	1556	0
"148"	"Endophytic"	"Celastrales"	"Pucciniomycetes"	0	1556	0
"149"	"Endophytic"	"Celastrales"	"Saccharomycetes"	0	1556	0
"150"	"Endophytic"	"Celastrales"	"Sordariomycetes"	122	1556	0.0784061696658098
"151"	"Endophytic"	"Celastrales"	"Taphrinomycetes"	0	1556	0
"152"	"Endophytic"	"Celastrales"	"Tremellomycetes"	0	1556	0
"153"	"Endophytic"	"Chloranthales"	""	46	11756	0.0039128955427016
"154"	"Endophytic"	"Chloranthales"	"Agaricomycetes"	0	11756	0
"155"	"Endophytic"	"Chloranthales"	"Agaricostilbomycetes"	0	11756	0
"156"	"Endophytic"	"Chloranthales"	"Arthoniomycetes"	0	11756	0
"157"	"Endophytic"	"Chloranthales"	"Cystobasidiomycetes"	0	11756	0
"158"	"Endophytic"	"Chloranthales"	"Dacrymycetes"	0	11756	0
"159"	"Endophytic"	"Chloranthales"	"Dothideomycetes"	8492	11756	0.722354542361347
"160"	"Endophytic"	"Chloranthales"	"Eurotiomycetes"	0	11756	0
"161"	"Endophytic"	"Chloranthales"	"Exobasidiomycetes"	0	11756	0
"162"	"Endophytic"	"Chloranthales"	"Lecanoromycetes"	0	11756	0
"163"	"Endophytic"	"Chloranthales"	"Leotiomycetes"	42	11756	0.00357264375637972
"164"	"Endophytic"	"Chloranthales"	"Microbotryomycetes"	0	11756	0
"165"	"Endophytic"	"Chloranthales"	"Orbiliomycetes"	0	11756	0
"166"	"Endophytic"	"Chloranthales"	"Pezizomycetes"	0	11756	0
"167"	"Endophytic"	"Chloranthales"	"Pucciniomycetes"	0	11756	0
"168"	"Endophytic"	"Chloranthales"	"Saccharomycetes"	0	11756	0
"169"	"Endophytic"	"Chloranthales"	"Sordariomycetes"	3064	11756	0.260632868322559
"170"	"Endophytic"	"Chloranthales"	"Taphrinomycetes"	0	11756	0
"171"	"Endophytic"	"Chloranthales"	"Tremellomycetes"	112	11756	0.00952705001701259
"172"	"Endophytic"	"Cornales"	""	0	230	0
"173"	"Endophytic"	"Cornales"	"Agaricomycetes"	0	230	0
"174"	"Endophytic"	"Cornales"	"Agaricostilbomycetes"	0	230	0
"175"	"Endophytic"	"Cornales"	"Arthoniomycetes"	0	230	0
"176"	"Endophytic"	"Cornales"	"Cystobasidiomycetes"	0	230	0
"177"	"Endophytic"	"Cornales"	"Dacrymycetes"	0	230	0
"178"	"Endophytic"	"Cornales"	"Dothideomycetes"	47	230	0.204347826086957
"179"	"Endophytic"	"Cornales"	"Eurotiomycetes"	0	230	0
"180"	"Endophytic"	"Cornales"	"Exobasidiomycetes"	0	230	0
"181"	"Endophytic"	"Cornales"	"Lecanoromycetes"	0	230	0
"182"	"Endophytic"	"Cornales"	"Leotiomycetes"	0	230	0
"183"	"Endophytic"	"Cornales"	"Microbotryomycetes"	0	230	0
"184"	"Endophytic"	"Cornales"	"Orbiliomycetes"	0	230	0
"185"	"Endophytic"	"Cornales"	"Pezizomycetes"	0	230	0
"186"	"Endophytic"	"Cornales"	"Pucciniomycetes"	0	230	0
"187"	"Endophytic"	"Cornales"	"Saccharomycetes"	0	230	0
"188"	"Endophytic"	"Cornales"	"Sordariomycetes"	7	230	0.0304347826086957
"189"	"Endophytic"	"Cornales"	"Taphrinomycetes"	0	230	0
"190"	"Endophytic"	"Cornales"	"Tremellomycetes"	176	230	0.765217391304348
"191"	"Endophytic"	"Cupressales"	""	24	18996	0.00126342387871131
"192"	"Endophytic"	"Cupressales"	"Agaricomycetes"	250	18996	0.0131606654032428
"193"	"Endophytic"	"Cupressales"	"Agaricostilbomycetes"	0	18996	0
"194"	"Endophytic"	"Cupressales"	"Arthoniomycetes"	0	18996	0
"195"	"Endophytic"	"Cupressales"	"Cystobasidiomycetes"	2	18996	0.000105285323225942
"196"	"Endophytic"	"Cupressales"	"Dacrymycetes"	0	18996	0
"197"	"Endophytic"	"Cupressales"	"Dothideomycetes"	17630	18996	0.928090124236681
"198"	"Endophytic"	"Cupressales"	"Eurotiomycetes"	10	18996	0.000526426616129712
"199"	"Endophytic"	"Cupressales"	"Exobasidiomycetes"	0	18996	0
"200"	"Endophytic"	"Cupressales"	"Lecanoromycetes"	0	18996	0
"201"	"Endophytic"	"Cupressales"	"Leotiomycetes"	14	18996	0.000736997262581596
"202"	"Endophytic"	"Cupressales"	"Microbotryomycetes"	0	18996	0
"203"	"Endophytic"	"Cupressales"	"Orbiliomycetes"	0	18996	0
"204"	"Endophytic"	"Cupressales"	"Pezizomycetes"	0	18996	0
"205"	"Endophytic"	"Cupressales"	"Pucciniomycetes"	2	18996	0.000105285323225942
"206"	"Endophytic"	"Cupressales"	"Saccharomycetes"	0	18996	0
"207"	"Endophytic"	"Cupressales"	"Sordariomycetes"	572	18996	0.0301116024426195
"208"	"Endophytic"	"Cupressales"	"Taphrinomycetes"	0	18996	0
"209"	"Endophytic"	"Cupressales"	"Tremellomycetes"	492	18996	0.0259001895135818
"210"	"Endophytic"	"Dipsacales"	""	460	12748	0.0360840916222153
"211"	"Endophytic"	"Dipsacales"	"Agaricomycetes"	0	12748	0
"212"	"Endophytic"	"Dipsacales"	"Agaricostilbomycetes"	0	12748	0
"213"	"Endophytic"	"Dipsacales"	"Arthoniomycetes"	0	12748	0
"214"	"Endophytic"	"Dipsacales"	"Cystobasidiomycetes"	0	12748	0
"215"	"Endophytic"	"Dipsacales"	"Dacrymycetes"	0	12748	0
"216"	"Endophytic"	"Dipsacales"	"Dothideomycetes"	7676	12748	0.602133668026357
"217"	"Endophytic"	"Dipsacales"	"Eurotiomycetes"	0	12748	0
"218"	"Endophytic"	"Dipsacales"	"Exobasidiomycetes"	0	12748	0
"219"	"Endophytic"	"Dipsacales"	"Lecanoromycetes"	0	12748	0
"220"	"Endophytic"	"Dipsacales"	"Leotiomycetes"	1106	12748	0.0867587072481958
"221"	"Endophytic"	"Dipsacales"	"Microbotryomycetes"	0	12748	0
"222"	"Endophytic"	"Dipsacales"	"Orbiliomycetes"	0	12748	0
"223"	"Endophytic"	"Dipsacales"	"Pezizomycetes"	0	12748	0
"224"	"Endophytic"	"Dipsacales"	"Pucciniomycetes"	0	12748	0
"225"	"Endophytic"	"Dipsacales"	"Saccharomycetes"	108	12748	0.00847191716347662
"226"	"Endophytic"	"Dipsacales"	"Sordariomycetes"	100	12748	0.00784436774395984
"227"	"Endophytic"	"Dipsacales"	"Taphrinomycetes"	0	12748	0
"228"	"Endophytic"	"Dipsacales"	"Tremellomycetes"	3298	12748	0.258707248195795
"229"	"Endophytic"	"Ericales"	""	28729	956272	0.0300427075141801
"230"	"Endophytic"	"Ericales"	"Agaricales"	0	956272	0
"231"	"Endophytic"	"Ericales"	"Agaricomycetes"	13500	956272	0.0141173222681413
"232"	"Endophytic"	"Ericales"	"Agaricostilbomycetes"	411	956272	0.000429794033496746
"233"	"Endophytic"	"Ericales"	"Aphelidiomycetes"	0	956272	0
"234"	"Endophytic"	"Ericales"	"Archaeorhizomycetes"	0	956272	0
"235"	"Endophytic"	"Ericales"	"Archaeosporomycetes"	0	956272	0
"236"	"Endophytic"	"Ericales"	"Arthoniomycetes"	154	956272	0.000161042046614352
"237"	"Endophytic"	"Ericales"	"Atractiellomycetes"	1418	956272	0.00148284170194254
"238"	"Endophytic"	"Ericales"	"Basidiobolomycetes"	0	956272	0
"239"	"Endophytic"	"Ericales"	"Blastocladiomycetes"	0	956272	0
"240"	"Endophytic"	"Ericales"	"Chytridiomycetes"	0	956272	0
"241"	"Endophytic"	"Ericales"	"Cystobasidiomycetes"	2224	956272	0.00232569812772935
"242"	"Endophytic"	"Ericales"	"Dacrymycetes"	0	956272	0
"243"	"Endophytic"	"Ericales"	"Dothideomycetes"	564127	956272	0.589923159937758
"244"	"Endophytic"	"Ericales"	"Endogonomycetes"	0	956272	0
"245"	"Endophytic"	"Ericales"	"Entomophthoromycetes"	0	956272	0
"246"	"Endophytic"	"Ericales"	"Eurotiomycetes"	6029	956272	0.00630469155219435
"247"	"Endophytic"	"Ericales"	"Exobasidiomycetes"	20854	956272	0.0218076028577643
"248"	"Endophytic"	"Ericales"	"Geoglossomycetes"	0	956272	0
"249"	"Endophytic"	"Ericales"	"Glomeromycetes"	0	956272	0
"250"	"Endophytic"	"Ericales"	"Gs18"	760	956272	0.000794752957317583
"251"	"Endophytic"	"Ericales"	"Gs27"	0	956272	0
"252"	"Endophytic"	"Ericales"	"Gs35"	0	956272	0
"253"	"Endophytic"	"Ericales"	"Kickxellomycetes"	0	956272	0
"254"	"Endophytic"	"Ericales"	"Laboulbeniomycetes"	0	956272	0
"255"	"Endophytic"	"Ericales"	"Lecanoromycetes"	5407	956272	0.00565424900028444
"256"	"Endophytic"	"Ericales"	"Leotiomycetes"	120459	956272	0.125967298007262
"257"	"Endophytic"	"Ericales"	"Lichinomycetes"	0	956272	0
"258"	"Endophytic"	"Ericales"	"Lobulomycetes"	0	956272	0
"259"	"Endophytic"	"Ericales"	"Malasseziomycetes"	53265	956272	0.055700679304633
"260"	"Endophytic"	"Ericales"	"Microbotryomycetes"	4289	956272	0.00448512557096726
"261"	"Endophytic"	"Ericales"	"Mortierellomycetes"	0	956272	0
"262"	"Endophytic"	"Ericales"	"Mucoromycetes"	0	956272	0
"263"	"Endophytic"	"Ericales"	"Olpidiomycetes"	0	956272	0
"264"	"Endophytic"	"Ericales"	"Orbiliomycetes"	4528	956272	0.00473505446149213
"265"	"Endophytic"	"Ericales"	"Paraglomeromycetes"	0	956272	0
"266"	"Endophytic"	"Ericales"	"Pezizomycetes"	163	956272	0.000170453594793113
"267"	"Endophytic"	"Ericales"	"Pleosporales"	0	956272	0
"268"	"Endophytic"	"Ericales"	"Pucciniomycetes"	290	956272	0.000303260996871183
"269"	"Endophytic"	"Ericales"	"Rhizophlyctidomycetes"	0	956272	0
"270"	"Endophytic"	"Ericales"	"Rhizophydiomycetes"	0	956272	0
"271"	"Endophytic"	"Ericales"	"Saccharomycetes"	3849	956272	0.00402500543778339
"272"	"Endophytic"	"Ericales"	"Sanchytriomycetes"	0	956272	0
"273"	"Endophytic"	"Ericales"	"Sareomycetes"	0	956272	0
"274"	"Endophytic"	"Ericales"	"Sordariomycetes"	85260	956272	0.0891587330801278
"275"	"Endophytic"	"Ericales"	"Spiculogloeomycetes"	0	956272	0
"276"	"Endophytic"	"Ericales"	"Spizellomycetes"	498	956272	0.000520772332558101
"277"	"Endophytic"	"Ericales"	"Taphrinomycetes"	3860	956272	0.00403650844111299
"278"	"Endophytic"	"Ericales"	"Tremellomycetes"	36122	956272	0.0377737714792444
"279"	"Endophytic"	"Ericales"	"Umbelopsidomycetes"	0	956272	0
"280"	"Endophytic"	"Ericales"	"Ustilaginomycetes"	19	956272	1.98688239329396e-05
"281"	"Endophytic"	"Ericales"	"Wallemiomycetes"	57	956272	5.96064717988187e-05
"282"	"Endophytic"	"Ericales"	"Zoopagomycetes"	0	956272	0
"283"	"Endophytic"	"Fabales"	""	14906	384882	0.0387287532282622
"284"	"Endophytic"	"Fabales"	"Agaricomycetes"	12626	384882	0.0328048596712759
"285"	"Endophytic"	"Fabales"	"Agaricostilbomycetes"	6	384882	1.55891935710166e-05
"286"	"Endophytic"	"Fabales"	"Aphelidiomycetes"	0	384882	0
